i,scd,src_box4,src_maxd,out_box4,out_bad48,psnr_f0,psnr_f1
450,0.03,5,9,14,0,48.45,48.58
451,0.14,55,101,33,20,44.53,43.29
452,0.14,138,172,131,4764,36.00,36.27
453,0.14,53,97,31,6,44.91,43.54
454,0.02,6,10,13,0,48.57,48.68
455,0.40,144,172,123,4411,35.90,36.09
456,14.15,196,209,190,528161,14.94,13.68
457,0.00,2,3,10,0,48.17,48.17
458,0.00,1,2,10,0,48.17,48.17
459,0.00,0,0,10,0,48.17,48.17
460,0.00,0,0,10,0,48.17,48.17
461,0.00,0,0,10,0,48.17,48.17
462,0.00,2,2,10,0,48.17,48.17
463,0.00,1,2,10,0,48.17,48.17
464,0.00,0,0,10,0,48.17,48.17
465,0.00,0,0,10,0,48.17,48.17
466,0.00,0,0,10,0,48.17,48.17
467,0.00,0,0,10,0,48.17,48.17
468,0.00,0,0,10,0,48.17,48.17
469,0.00,2,2,10,0,48.17,48.17
470,0.00,2,3,10,0,48.17,48.17
471,0.00,2,3,10,0,48.17,48.17
472,0.00,2,3,10,0,48.17,48.17
473,0.00,2,3,10,0,48.17,48.17
474,0.00,2,3,10,0,48.17,48.17
475,0.00,2,3,10,0,48.17,48.17
476,0.00,2,3,10,0,48.17,48.17
477,0.00,0,0,10,0,48.17,48.17
478,0.00,0,0,10,0,48.17,48.17
479,0.00,0,0,10,0,48.17,48.17
480,0.00,2,2,10,0,48.17,48.17
481,0.03,3,7,10,0,47.92,48.01
482,0.07,128,139,111,1840,39.95,41.04
483,0.00,3,5,10,0,48.14,48.16
484,0.12,5,9,10,0,46.46,47.45
485,0.02,127,138,93,1013,42.11,40.94
486,0.00,3,5,10,0,48.09,48.12
487,0.07,4,8,10,0,47.30,47.73
488,0.05,101,130,99,979,42.32,42.33
489,0.02,3,7,10,0,47.86,47.97
490,0.00,3,5,10,0,48.06,48.08
491,0.00,2,5,10,0,48.08,48.09
492,0.00,2,5,10,0,48.09,48.10
493,0.00,2,6,10,0,48.10,48.10
494,0.00,2,5,10,0,48.10,48.11
495,0.00,2,4,10,0,48.10,48.11
496,0.00,2,4,10,0,48.10,48.11
497,0.00,2,5,10,0,48.10,48.11
498,0.00,2,4,10,0,48.11,48.11
499,0.00,2,4,10,0,48.11,48.11
500,0.00,2,4,10,0,48.11,48.11
501,0.00,2,4,10,0,48.11,48.11
502,0.00,2,4,10,0,48.11,48.11
503,0.00,2,3,10,0,48.11,48.11
504,0.00,2,4,10,0,48.11,48.11
505,0.00,3,3,10,0,48.11,48.11
506,0.00,3,3,10,0,48.11,48.11
507,0.00,3,3,10,0,48.11,48.11
508,0.00,3,3,10,0,48.11,48.11
509,0.00,3,3,10,0,48.11,48.11
510,0.00,3,3,10,0,48.11,48.11
511,0.00,3,3,10,0,48.11,48.11
512,0.00,3,3,10,0,48.11,48.11
513,0.00,3,3,10,0,48.11,48.11
514,0.00,3,3,10,0,48.11,48.11
515,0.00,3,3,10,0,48.11,48.11
516,0.00,3,3,10,0,48.11,48.11
517,0.00,3,3,10,0,48.11,48.11
518,0.00,3,3,10,0,48.11,48.11
519,0.00,3,3,10,0,48.11,48.11
520,0.00,3,3,10,0,48.11,48.11
